公司名稱,公司簡稱
八方雲集國際股份有限公司,八方雲集
彰化商業銀行股份有限公司,彰銀
京城商業銀行股份有限公司,京城銀
台中商業銀行股份有限公司,台中銀
旺旺友聯產物保險股份有限公司,旺旺保
中華票券金融股份有限公司,華票
台灣產物保險股份有限公司,台產
臺灣中小企業銀行股份有限公司,臺企銀
高雄銀行股份有限公司,高雄銀
聯邦商業銀行股份有限公司,聯邦銀
台灣土地開發股份有限公司,台開
遠東國際商業銀行股份有限公司,遠東銀
安泰商業銀行股份有限公司,安泰銀
新光產物保險股份有限公司,新產
中央再保險股份有限公司,中再保
第一產物保險股份有限公司,第一保
統一綜合證券股份有限公司,統一證
三商美邦人壽保險股份有限公司,三商壽
華南金融控股股份有限公司,華南金
富邦金融控股股份有限公司,富邦金
國泰金融控股股份有限公司,國泰金
中華開發金融控股股份有限公司,開發金
玉山金融控股股份有限公司,玉山金
元大金融控股股份有限公司,元大金
兆豐金融控股股份有限公司,兆豐金
台新金融控股股份有限公司,台新金
新光金融控股股份有限公司,新光金
國票金融控股股份有限公司,國票金
永豐金融控股股份有限公司,永豐金
中國信託金融控股股份有限公司,中信金
第一金融控股股份有限公司,第一金
王道商業銀行股份有限公司,王道銀行
欣欣大眾市場股份有限公司,欣欣
遠東百貨股份有限公司,遠百
匯僑股份有限公司,匯僑
三商投資控股股份有限公司,三商
高林實業股份有限公司,高林
特力股份有限公司,特力
統領百貨股份有限公司,統領
麗嬰房股份有限公司,麗嬰房
統一超商股份有限公司,統一超
台灣農林股份有限公司,農林
潤泰全球股份有限公司,潤泰全
鼎固控股有限公司,鼎固-KY
淘帝國際控股有限公司,淘帝-KY
客思達股份有限公司,客思達-KY
凱羿國際集團股份有限公司,凱羿-KY
三商家購股份有限公司,三商家購
歐格電子股份有限公司,歐格
健和興端子股份有限公司,健和興
豐達科技股份有限公司(原宏達),豐達科
神基投資控股股份有限公司,神基
晶豪科技股份有限公司,晶豪科
大立光電股份有限公司,大立光
華立企業股份有限公司,華立
今皓實業股份有限公司,今皓
晟銘電子科技股份有限公司,晟銘電
聯陽半導體股份有限公司,聯陽
全漢企業股份有限公司,全漢
嘉晶電子股份有限公司,嘉晶
奇鋐科技股份有限公司,奇鋐
同開科技工程股份有限公司,同開
亞洲光學股份有限公司,亞光
鴻名企業股份有限公司,鴻名
威強電工業電腦股份有限公司,威強電
信邦電子股份有限公司,信邦
憶聲電子股份有限公司,憶聲
星通資訊股份有限公司,星通
禾伸堂企業股份有限公司,禾伸堂
盛達電業股份有限公司,盛達
增你強股份有限公司,增你強
零壹科技股份有限公司,零壹
德律科技股份有限公司,德律
佰鴻工業股份有限公司,佰鴻
偉訓科技股份有限公司,偉訓
威健實業股份有限公司,威健
聯詠科技股份有限公司,聯詠
智原科技股份有限公司,智原
文曄科技股份有限公司,文曄
欣興電子股份有限公司,欣興
全台晶像股份有限公司,全台
遠見科技股份有限公司,遠見
揚智科技股份有限公司,揚智
台灣晶技股份有限公司,晶技
科風股份有限公司,科風
健鼎科技股份有限公司,健鼎
台灣大哥大股份有限公司,台灣大
建碁股份有限公司,建碁
訊舟科技股份有限公司,訊舟
益登科技股份有限公司,益登
和鑫光電股份有限公司,和鑫
鈺德科技股份有限公司,鈺德
力特光電科技股份有限公司,力特
夆典科技開發股份有限公司,夆典
立萬利創新股份有限公司,立萬利
蔚華科技股份有限公司,蔚華科
總太地產開發股份有限公司,總太
喬鼎資訊股份有限公司,喬鼎
立德電子股份有限公司,立德
華晶科技股份有限公司,華晶科
銘異科技股份有限公司,銘異
建漢科技股份有限公司,建漢
日電貿股份有限公司,日電貿
鴻碩精密電工股份有限公司,鴻碩
聯傑國際股份有限公司,聯傑
一零四資訊科技股份有限公司,一零四
耀登科技股份有限公司,耀登
正達國際光電股份有限公司,正達
景岳生物科技股份有限公司,景岳
大量科技股份有限公司,大量
景碩科技股份有限公司,景碩
全科科技股份有限公司,全科
晟鈦股份有限公司,晟鈦
緯創資通股份有限公司,緯創
虹冠電子工業股份有限公司,虹冠電
昇陽建設企業股份有限公司,昇陽
勝德國際研發股份有限公司,勝德
昇貿科技股份有限公司,昇貿
聯德電子股份有限公司,聯德
閎暉實業股份有限公司,閎暉
弘憶國際股份有限公司,弘憶股
同泰電子科技股份有限公司,同泰
泰碩電子股份有限公司,泰碩
麗清科技股份有限公司,麗清
奇偶科技股份有限公司,奇偶
新日興股份有限公司,新日興
明泰科技股份有限公司,明泰
新世紀光電股份有限公司,新世紀
玉晶光電股份有限公司,玉晶光
京鼎精密科技股份有限公司,京鼎
融程電訊股份有限公司,融程電
譁裕實業股份有限公司,譁裕
台端興業股份有限公司,台端
榮創能源科技股份有限公司,榮創
創意電子股份有限公司,創意
聯鈞光電股份有限公司,聯鈞
晶睿通訊股份有限公司,晶睿
群創光電股份有限公司,群創
誠研科技股份有限公司,誠研
維熹科技股份有限公司,維熹
揚明光學股份有限公司,揚明光
華擎科技股份有限公司,華擎
柏騰科技股份有限公司,柏騰
安馳科技股份有限公司,安馳
晶相光電股份有限公司,晶相光
台塑勝高科技股份有限公司,台勝科
嘉澤端子工業股份有限公司,嘉澤
晶彩科技股份有限公司,晶彩科
誠創科技股份有限公司,誠創
州巧科技股份有限公司,州巧
敦泰電子股份有限公司,敦泰
聯穎科技股份有限公司,聯穎
嘉威生活股份有限公司,嘉威
牧德科技股份有限公司,牧德
聯合再生能源股份有限公司,聯合再生
辛耘企業股份有限公司,辛耘
通嘉科技股份有限公司,通嘉
艾笛森光電股份有限公司,艾笛森
瑞鼎科技股份有限公司,瑞鼎
力銘科技股份有限公司,力銘
智易科技股份有限公司,智易
宏致電子股份有限公司,宏致
谷崧精密工業股份有限公司,谷崧
碩天科技股份有限公司,碩天
洋華光電股份有限公司,洋華
達邁科技股份有限公司,達邁
健策精密工業股份有限公司,健策
世芯電子股份有限公司,世芯-KY
貿聯控股(BizLink Holding Inc.),貿聯-KY
圓展科技股份有限公司,圓展
"TPK Holding Co., Ltd.",TPK-KY
新至陞科技股份有限公司,新至陞
亞太電信股份有限公司,亞太電
達能科技股份有限公司,達能
海華科技股份有限公司,海華
大眾全球投資控股股份有限公司,大眾控
大聯大投資控股股份有限公司,大聯大
欣陸投資控股股份有限公司,欣陸
合勤投資控股股份有限公司,合勤控
永信國際投資控股股份有限公司,永信
神達投資控股股份有限公司,神達
上緯國際投資控股股份有限公司,上緯投控
日月光投資控股股份有限公司,日月光投控
永崴投資控股股份有限公司,永崴投控
富采投資控股股份有限公司,富采
佳醫健康事業股份有限公司,佳醫
雃博股份有限公司,雃博
懷特生技新藥股份有限公司,懷特
旭富製藥科技股份有限公司,旭富
亞諾法生技股份有限公司,亞諾法
麗豐股份有限公司,麗豐-KY
國光生物科技股份有限公司,國光生
全宇生技控股有限公司,全宇生技-KY
訊映光電股份有限公司,訊映
承業生醫投資控股股份有限公司,承業醫
佐登妮絲集團股份有限公司,佐登-KY
炎洲股份有限公司,炎洲
如興股份有限公司,如興
利勤實業股份有限公司,利勤
廣越企業股份有限公司,廣越
冠星集團控股有限公司,冠星-KY
宜新實業股份有限公司,宜新實業
東台精機股份有限公司,東台
瑞智精密股份有限公司,瑞智
拓凱實業股份有限公司,拓凱
全球傳動科技股份有限公司,全球傳動
銘鈺精密工業股份有限公司,銘鈺
智伸科技股份有限公司,智伸科
力達控股有限公司,力達-KY
